_id,deviceId,ts,hour,minute,sound.avg,sound.max,sound.last,sound_range,sound_stability,soundHist.QUIET,soundHist.LIGHT_ACTIVITY,soundHist.RESTLESS,soundHist.CRYING,hist_total,hist_quiet_ratio,hist_la_ratio,hist_rest_ratio,hist_cry_ratio,temp.avg,temp.min,temp.max,humidity.avg,humidity.min,humidity.max,light.avg,light.last,comfort.avg,comfort.last,comfort_computed,motion.samplesActive,motion.durationMs,motion_active_ratio,motion_active,hour_sin,hour_cos,sampleCount,sound.event,label_encoded
synthetic_004827,ESP32_GREENHOUSE_01,2026-04-02 16:13:00+00:00,16,13,292.6,448.4,322.9,155.79999999999995,0.6510903426791278,0,10,2,3,15,0.0,0.625,0.125,0.1875,32.99,32.5,33.2,55.65,55.4,57.2,326.6,330.8,50.1,48.7,50.0,3,2545,0.1875,1,-0.8660254037844385,-0.5000000000000004,15,LIGHT_ACTIVITY,1
synthetic_007165,ESP32_GREENHOUSE_01,2026-04-03 11:42:00+00:00,11,42,215.0,415.6,484.9,200.60000000000002,0.5160825732117138,2,3,7,3,15,0.125,0.1875,0.4375,0.1875,33.97,33.7,34.4,56.0,54.5,57.8,364.7,352.9,49.5,36.5,52.8,1,7264,0.0625,1,0.258819045102521,-0.9659258262890682,15,RESTLESS,2
synthetic_004615,ESP32_GREENHOUSE_01,2026-04-02 14:27:00+00:00,14,27,140.5,269.1,207.5,128.60000000000002,0.5201777119585338,2,7,4,2,15,0.125,0.4375,0.25,0.125,33.2,32.7,33.8,56.54,55.4,58.1,440.4,447.1,57.0,52.4,55.4,1,726,0.0625,1,-0.4999999999999997,-0.8660254037844388,15,LIGHT_ACTIVITY,1
synthetic_004566,ESP32_GREENHOUSE_01,2026-04-02 14:02:30+00:00,14,2,113.3,374.7,54.5,261.4,0.3015704019164227,1,12,2,0,15,0.0625,0.75,0.125,0.0,33.17,32.9,33.7,55.21,54.1,56.4,424.2,412.0,56.3,60.2,57.3,3,721,0.1875,1,-0.4999999999999997,-0.8660254037844388,15,QUIET,0
synthetic_000319,ESP32_GREENHOUSE_01,2026-04-01 02:39:00+00:00,2,39,29.3,192.5,24.7,163.2,0.15142118863049095,8,1,3,3,15,0.5,0.0625,0.1875,0.1875,31.7,31.4,32.2,60.35,59.1,61.0,42.3,48.4,59.5,60.5,59.6,0,346,0.0,0,0.49999999999999994,0.8660254037844387,14,QUIET,0
synthetic_005996,ESP32_GREENHOUSE_01,2026-04-03 01:57:30+00:00,1,57,168.0,246.7,186.7,78.69999999999999,0.6782398062171983,3,4,7,1,15,0.1875,0.25,0.4375,0.0625,30.0,29.6,30.2,62.58,62.3,63.1,45.6,43.8,55.9,57.4,57.6,4,3759,0.25,1,0.25881904510252074,0.9659258262890683,15,RESTLESS,2
synthetic_009743,ESP32_GREENHOUSE_01,2026-04-04 09:11:00+00:00,9,11,277.6,928.1,241.6,650.5,0.29878376923904854,2,1,2,10,15,0.125,0.0625,0.125,0.625,33.13,32.9,33.7,58.96,57.7,59.3,283.6,281.5,49.1,49.6,48.5,3,1297,0.1875,1,0.7071067811865476,-0.7071067811865475,15,CRYING,3
synthetic_002514,ESP32_GREENHOUSE_01,2026-04-01 20:56:30+00:00,20,56,107.8,172.6,80.0,64.8,0.6209677419354839,2,7,1,5,15,0.125,0.4375,0.0625,0.3125,31.68,31.4,32.0,60.3,59.9,61.7,81.1,88.1,55.5,57.0,56.6,2,2265,0.14285714285714285,1,-0.8660254037844386,0.5000000000000001,13,LIGHT_ACTIVITY,1
synthetic_007801,ESP32_GREENHOUSE_01,2026-04-03 17:00:00+00:00,17,0,260.0,889.6,5.0,629.6,0.2919380193128228,0,0,12,3,15,0.0,0.0,0.75,0.1875,32.52,32.0,32.8,54.8,53.5,56.2,359.9,361.7,53.4,63.2,51.8,3,1926,0.1875,1,-0.9659258262890683,-0.25881904510252063,15,RESTLESS,2
synthetic_007992,ESP32_GREENHOUSE_01,2026-04-03 18:35:30+00:00,18,35,203.3,947.5,5.0,744.2,0.2143384290985767,1,3,1,10,15,0.0625,0.1875,0.0625,0.625,32.64,32.4,33.0,54.35,53.0,56.1,318.5,333.9,55.5,64.9,54.3,3,553,0.1875,1,-1.0,-1.8369701987210297e-16,15,CRYING,3
synthetic_006010,ESP32_GREENHOUSE_01,2026-04-03 02:04:30+00:00,2,4,123.1,405.1,126.2,282.0,0.3031273085446934,1,0,14,0,15,0.0625,0.0,0.875,0.0,30.96,30.4,31.6,62.86,61.4,63.7,37.6,51.3,57.5,57.8,56.5,1,2028,0.0625,1,0.49999999999999994,0.8660254037844387,15,RESTLESS,2
synthetic_005366,ESP32_GREENHOUSE_01,2026-04-02 20:42:30+00:00,20,42,269.5,675.5,280.6,406.0,0.3983739837398374,0,0,12,3,15,0.0,0.0,0.75,0.1875,31.51,31.1,31.8,52.41,51.6,54.3,170.0,172.3,53.1,50.0,55.7,1,6777,0.0625,1,-0.8660254037844386,0.5000000000000001,15,RESTLESS,2
synthetic_005429,ESP32_GREENHOUSE_01,2026-04-02 21:14:00+00:00,21,14,329.5,329.5,354.7,0.0,0.9969742813918305,3,1,8,3,15,0.1875,0.0625,0.5,0.1875,31.36,30.9,31.7,55.27,54.2,57.2,104.3,107.2,52.4,53.2,52.0,4,2709,0.2857142857142857,1,-0.7071067811865477,0.7071067811865474,13,LIGHT_ACTIVITY,1
synthetic_008442,ESP32_GREENHOUSE_01,2026-04-03 22:20:30+00:00,22,20,175.0,864.2,43.1,689.2,0.20226537216828477,3,2,3,7,15,0.1875,0.125,0.1875,0.4375,31.88,31.6,32.4,59.4,58.0,61.0,27.0,33.2,54.9,60.5,54.0,2,233,0.125,1,-0.5000000000000004,0.8660254037844384,15,CRYING,3
synthetic_002717,ESP32_GREENHOUSE_01,2026-04-01 22:38:00+00:00,22,38,70.9,348.7,99.2,277.79999999999995,0.20274521018015443,2,11,0,2,15,0.125,0.6875,0.0,0.125,32.18,31.9,32.4,52.77,51.4,54.4,63.3,45.6,64.5,63.9,61.4,2,2231,0.13333333333333333,1,-0.5000000000000004,0.8660254037844384,14,RESTLESS,2
synthetic_002654,ESP32_GREENHOUSE_01,2026-04-01 22:06:30+00:00,22,6,26.5,283.9,5.0,257.4,0.09301509301509302,0,14,1,0,15,0.0,0.875,0.0625,0.0,31.66,31.5,32.0,56.7,56.0,57.2,41.0,48.2,60.2,61.0,62.1,3,786,0.1875,1,-0.5000000000000004,0.8660254037844384,15,LIGHT_ACTIVITY,1
synthetic_008084,ESP32_GREENHOUSE_01,2026-04-03 19:21:30+00:00,19,21,439.7,703.6,436.4,263.90000000000003,0.6240420096508656,0,2,0,13,15,0.0,0.125,0.0,0.8125,32.15,31.9,32.7,57.38,55.6,59.2,222.4,228.1,44.1,43.8,44.2,0,1236,0.0,0,-0.9659258262890684,0.2588190451025203,14,RESTLESS,2
synthetic_001764,ESP32_GREENHOUSE_01,2026-04-01 14:41:30+00:00,14,41,45.9,67.9,59.1,22.000000000000007,0.6661828737300435,13,1,1,0,15,0.8125,0.0625,0.0625,0.0,33.17,33.0,33.5,53.01,52.4,54.4,432.5,440.9,60.0,60.6,61.3,0,277,0.0,0,-0.4999999999999997,-0.8660254037844388,15,QUIET,0
synthetic_003083,ESP32_GREENHOUSE_01,2026-04-02 01:41:00+00:00,1,41,118.2,184.5,135.1,66.3,0.6371967654986523,1,8,2,4,15,0.0625,0.5,0.125,0.25,30.59,30.3,30.7,57.43,56.0,58.4,47.1,67.2,61.3,60.5,61.1,1,792,0.06666666666666667,1,0.25881904510252074,0.9659258262890683,14,LIGHT_ACTIVITY,1
synthetic_000034,ESP32_GREENHOUSE_01,2026-04-01 00:16:30+00:00,0,16,31.2,175.6,19.8,144.4,0.17667044167610418,7,3,2,3,15,0.4375,0.1875,0.125,0.1875,30.5,30.2,30.7,55.9,54.9,57.1,41.7,25.5,64.3,67.3,65.7,1,9,0.0625,1,0.0,1.0,15,QUIET,0
synthetic_007466,ESP32_GREENHOUSE_01,2026-04-03 14:12:30+00:00,14,12,296.8,499.6,276.0,202.8,0.5928885337594886,1,2,10,2,15,0.0625,0.125,0.625,0.125,33.3,33.0,33.7,51.77,51.2,53.5,408.6,387.0,47.3,48.0,52.3,4,7217,0.26666666666666666,1,-0.4999999999999997,-0.8660254037844388,14,RESTLESS,2
synthetic_009932,ESP32_GREENHOUSE_01,2026-04-04 10:45:30+00:00,10,45,248.1,656.6,331.0,408.5,0.3772810218978102,0,0,1,14,15,0.0,0.0,0.0625,0.875,33.37,32.9,33.6,56.2,56.0,57.0,261.5,254.9,51.9,47.4,51.4,3,1844,0.2,1,0.49999999999999994,-0.8660254037844387,14,CRYING,3
synthetic_002969,ESP32_GREENHOUSE_01,2026-04-02 00:44:00+00:00,0,44,58.2,304.9,35.1,246.7,0.19025825433148089,7,4,1,3,15,0.4375,0.25,0.0625,0.1875,31.11,30.7,31.3,56.6,54.8,57.0,32.6,45.5,62.3,66.5,62.5,3,2894,0.2,1,0.0,1.0,14,LIGHT_ACTIVITY,1
synthetic_009174,ESP32_GREENHOUSE_01,2026-04-04 04:26:30+00:00,4,26,434.5,629.5,285.2,195.0,0.6891356066613799,1,2,0,12,15,0.0625,0.125,0.0,0.75,31.4,30.8,31.5,59.69,59.6,60.5,49.3,62.7,47.6,50.7,45.0,0,1571,0.0,0,0.8660254037844386,0.5000000000000001,15,CRYING,3
synthetic_009830,ESP32_GREENHOUSE_01,2026-04-04 09:54:30+00:00,9,54,303.8,786.2,366.0,482.40000000000003,0.3859247967479675,1,2,4,8,15,0.0625,0.125,0.25,0.5,32.03,31.6,32.3,59.77,59.2,60.7,236.4,227.7,47.9,46.6,48.3,1,1316,0.06666666666666667,1,0.7071067811865476,-0.7071067811865475,14,CRYING,3
synthetic_005163,ESP32_GREENHOUSE_01,2026-04-02 19:01:00+00:00,19,1,71.4,515.5,246.1,444.1,0.13823814133591483,1,0,13,1,15,0.0625,0.0,0.8125,0.0625,32.63,32.0,33.2,58.0,57.8,59.5,215.5,225.0,56.7,51.9,57.2,3,3146,0.1875,1,-0.9659258262890684,0.2588190451025203,15,RESTLESS,2
synthetic_002955,ESP32_GREENHOUSE_01,2026-04-02 00:37:00+00:00,0,37,166.3,186.4,175.6,20.099999999999994,0.8874066168623266,2,9,1,3,15,0.125,0.5625,0.0625,0.1875,31.31,31.1,31.7,57.48,56.0,57.7,10.4,11.9,57.9,55.4,57.2,3,1893,0.1875,1,0.0,1.0,15,LIGHT_ACTIVITY,1
synthetic_002932,ESP32_GREENHOUSE_01,2026-04-02 00:25:30+00:00,0,25,70.0,320.4,102.1,250.39999999999998,0.21779713752333543,1,9,3,2,15,0.0625,0.5625,0.1875,0.125,30.91,30.5,31.1,56.23,56.1,56.7,3.4,0.0,59.3,58.5,62.8,3,1506,0.2,1,0.0,1.0,14,LIGHT_ACTIVITY,1
synthetic_009035,ESP32_GREENHOUSE_01,2026-04-04 03:17:00+00:00,3,17,501.9,747.2,625.9,245.30000000000007,0.6708099438652766,2,1,1,11,15,0.125,0.0625,0.0625,0.6875,32.05,31.7,32.3,60.12,59.3,61.2,10.4,0.0,40.2,34.7,40.3,3,945,0.2,1,0.7071067811865476,0.7071067811865476,14,CRYING,3
synthetic_001167,ESP32_GREENHOUSE_01,2026-04-01 09:43:00+00:00,9,43,84.5,84.5,109.5,0.0,0.9883040935672515,7,1,4,3,15,0.4375,0.0625,0.25,0.1875,33.96,33.5,34.3,58.07,57.3,59.6,249.7,261.5,55.6,55.5,56.7,1,455,0.06666666666666667,1,0.7071067811865476,-0.7071067811865475,14,QUIET,0
synthetic_003996,ESP32_GREENHOUSE_01,2026-04-02 09:17:30+00:00,9,17,116.6,357.6,107.5,241.00000000000003,0.3251533742331288,2,9,1,3,15,0.125,0.5625,0.0625,0.1875,33.89,33.4,34.1,55.02,54.7,55.5,235.4,224.2,55.7,56.5,57.3,0,2910,0.0,0,0.7071067811865476,-0.7071067811865475,15,LIGHT_ACTIVITY,1
synthetic_008353,ESP32_GREENHOUSE_01,2026-04-03 21:36:00+00:00,21,36,132.6,834.2,5.0,701.6,0.15876436781609193,4,1,2,8,15,0.25,0.0625,0.125,0.5,31.66,31.5,31.9,56.05,54.8,56.3,85.9,98.1,58.3,64.6,58.4,3,1340,0.1875,1,-0.7071067811865477,0.7071067811865474,15,CRYING,3
synthetic_004913,ESP32_GREENHOUSE_01,2026-04-02 16:56:00+00:00,16,56,41.7,290.4,5.0,248.7,0.14310226492793413,0,13,0,2,15,0.0,0.8125,0.0,0.125,31.9,31.8,32.5,54.41,54.0,55.1,393.0,391.3,62.1,64.5,62.3,0,2115,0.0,0,-0.8660254037844385,-0.5000000000000004,15,LIGHT_ACTIVITY,1
synthetic_005436,ESP32_GREENHOUSE_01,2026-04-02 21:17:30+00:00,21,17,128.3,379.7,154.3,251.39999999999998,0.33701076963488313,0,5,3,7,15,0.0,0.3125,0.1875,0.4375,31.64,31.1,31.9,59.45,57.6,60.2,26.7,27.5,56.9,54.3,56.5,0,3108,0.0,0,-0.7071067811865477,0.7071067811865474,14,RESTLESS,2
synthetic_008980,ESP32_GREENHOUSE_01,2026-04-04 02:49:30+00:00,2,49,276.6,973.5,57.7,696.9,0.2838378655720883,3,1,4,7,15,0.1875,0.0625,0.25,0.4375,30.48,30.3,30.6,58.17,57.0,60.2,57.3,55.0,53.7,60.9,54.7,1,565,0.0625,1,0.49999999999999994,0.8660254037844387,15,CRYING,3
synthetic_004853,ESP32_GREENHOUSE_01,2026-04-02 16:26:00+00:00,16,26,137.2,319.4,154.5,182.2,0.4282147315855181,4,7,1,3,15,0.25,0.4375,0.0625,0.1875,32.43,31.9,32.5,54.59,52.9,54.7,400.5,390.6,57.1,55.9,57.0,2,1503,0.125,1,-0.8660254037844385,-0.5000000000000004,15,LIGHT_ACTIVITY,1
synthetic_001701,ESP32_GREENHOUSE_01,2026-04-01 14:10:00+00:00,14,10,5.0,103.9,5.0,98.9,0.047664442326024785,10,2,2,1,15,0.625,0.125,0.125,0.0625,33.69,33.4,34.1,49.66,48.0,50.1,430.3,415.0,65.3,63.1,64.6,1,275,0.06666666666666667,1,-0.4999999999999997,-0.8660254037844388,14,LIGHT_ACTIVITY,1
synthetic_009927,ESP32_GREENHOUSE_01,2026-04-04 10:43:00+00:00,10,43,122.0,847.7,60.1,725.7,0.1437492635795923,0,1,1,13,15,0.0,0.0625,0.0625,0.8125,34.09,33.8,34.6,53.26,52.6,54.5,314.4,305.3,57.3,61.3,58.2,3,677,0.2,1,0.49999999999999994,-0.8660254037844387,14,CRYING,3
synthetic_008019,ESP32_GREENHOUSE_01,2026-04-03 18:49:00+00:00,18,49,502.9,817.6,509.5,314.70000000000005,0.6143415587588565,3,4,1,7,15,0.1875,0.25,0.0625,0.4375,31.6,31.3,32.1,56.64,54.9,57.2,282.5,280.7,43.0,45.9,43.7,1,717,0.06666666666666667,1,-1.0,-1.8369701987210297e-16,14,CRYING,3
synthetic_007133,ESP32_GREENHOUSE_01,2026-04-03 11:26:00+00:00,11,26,282.4,342.2,332.6,59.80000000000001,0.8228438228438228,0,1,14,0,15,0.0,0.0625,0.875,0.0,32.86,32.3,33.0,55.02,54.6,55.9,396.4,402.9,53.2,48.6,50.8,4,3145,0.26666666666666666,1,0.258819045102521,-0.9659258262890682,14,RESTLESS,2
synthetic_008725,ESP32_GREENHOUSE_01,2026-04-04 00:42:00+00:00,0,42,326.7,826.4,231.4,499.7,0.39485134155184914,2,2,1,10,15,0.125,0.125,0.0625,0.625,31.64,31.2,32.1,59.85,58.7,61.0,67.9,60.0,48.5,55.3,48.5,2,1255,0.13333333333333333,1,0.0,1.0,14,CRYING,3
synthetic_004640,ESP32_GREENHOUSE_01,2026-04-02 14:39:30+00:00,14,39,302.4,302.4,286.7,0.0,0.996704021094265,1,12,0,2,15,0.0625,0.75,0.0,0.125,32.55,32.2,32.7,57.27,55.4,57.5,416.4,406.2,46.5,50.0,48.6,2,1209,0.125,1,-0.4999999999999997,-0.8660254037844388,15,LIGHT_ACTIVITY,1
synthetic_006967,ESP32_GREENHOUSE_01,2026-04-03 10:03:00+00:00,10,3,300.0,435.7,278.7,135.7,0.6869704602702084,2,1,5,7,15,0.125,0.0625,0.3125,0.4375,33.09,32.7,33.3,56.01,55.5,56.4,279.6,269.3,44.1,46.3,49.5,1,7170,0.07142857142857142,1,0.49999999999999994,-0.8660254037844387,13,CRYING,3
synthetic_009872,ESP32_GREENHOUSE_01,2026-04-04 10:15:30+00:00,10,15,579.4,586.7,693.9,7.300000000000068,0.9858771482048663,2,3,3,7,15,0.125,0.1875,0.1875,0.4375,34.29,34.2,34.7,52.44,50.7,52.7,273.7,257.9,39.5,37.3,40.8,0,820,0.0,0,0.49999999999999994,-0.8660254037844387,15,RESTLESS,2
synthetic_008157,ESP32_GREENHOUSE_01,2026-04-03 19:58:00+00:00,19,58,260.0,799.3,292.0,539.3,0.3248781706859928,1,4,1,9,15,0.0625,0.25,0.0625,0.5625,32.28,31.9,32.5,55.31,55.1,56.2,231.1,245.8,51.6,49.8,52.1,0,1467,0.0,0,-0.9659258262890684,0.2588190451025203,14,CRYING,3
synthetic_003217,ESP32_GREENHOUSE_01,2026-04-02 02:48:00+00:00,2,48,87.8,98.0,77.1,10.200000000000003,0.8868686868686868,1,12,1,1,15,0.0625,0.75,0.0625,0.0625,31.26,31.0,31.7,56.21,54.5,56.7,41.7,35.0,62.3,62.0,61.2,1,933,0.0625,1,0.49999999999999994,0.8660254037844387,15,LIGHT_ACTIVITY,1
synthetic_003405,ESP32_GREENHOUSE_01,2026-04-02 04:22:00+00:00,4,22,56.2,62.8,44.9,6.599999999999994,0.8808777429467085,4,1,8,2,15,0.25,0.0625,0.5,0.125,32.02,31.7,32.2,55.02,53.4,55.2,44.7,39.5,61.3,63.1,61.0,3,1328,0.1875,1,0.8660254037844386,0.5000000000000001,15,LIGHT_ACTIVITY,1
synthetic_008317,ESP32_GREENHOUSE_01,2026-04-03 21:18:00+00:00,21,18,201.9,511.7,43.2,309.79999999999995,0.3937975424224693,2,1,0,12,15,0.125,0.0625,0.0,0.75,31.67,31.4,31.8,48.77,47.5,49.8,125.0,128.6,57.1,64.5,58.7,1,45,0.0625,1,-0.7071067811865477,0.7071067811865474,15,CRYING,3
synthetic_003894,ESP32_GREENHOUSE_01,2026-04-02 08:26:30+00:00,8,26,117.8,439.2,64.3,321.4,0.2676056338028169,1,12,2,0,15,0.0625,0.75,0.125,0.0,32.5,32.4,32.7,55.79,55.1,57.8,161.3,160.9,57.6,58.8,56.8,3,2419,0.1875,1,0.8660254037844387,-0.4999999999999998,15,LIGHT_ACTIVITY,1
synthetic_006103,ESP32_GREENHOUSE_01,2026-04-03 02:51:00+00:00,2,51,295.1,415.8,266.2,120.69999999999999,0.7080134357005758,0,14,1,0,15,0.0,0.875,0.0625,0.0,31.53,31.1,32.0,55.64,55.4,56.3,36.1,37.5,47.3,45.8,52.7,2,6495,0.125,1,0.49999999999999994,0.8660254037844387,15,RESTLESS,2
synthetic_004346,ESP32_GREENHOUSE_01,2026-04-02 12:12:30+00:00,12,12,161.0,298.3,187.6,137.3,0.5379218175743401,4,9,0,2,15,0.25,0.5625,0.0,0.125,33.13,32.9,33.2,55.64,54.6,57.1,392.1,380.2,54.6,52.8,55.2,3,391,0.1875,1,1.2246467991473532e-16,-1.0,15,RESTLESS,2
synthetic_000841,ESP32_GREENHOUSE_01,2026-04-01 07:00:00+00:00,7,0,48.6,50.0,56.0,1.3999999999999986,0.9529411764705883,12,1,0,2,15,0.75,0.0625,0.0,0.125,32.01,31.8,32.2,57.26,55.6,57.9,84.4,98.8,60.5,59.6,59.9,1,414,0.0625,1,0.9659258262890683,-0.25881904510252063,15,QUIET,0
synthetic_005685,ESP32_GREENHOUSE_01,2026-04-02 23:22:00+00:00,23,22,174.2,610.1,100.7,435.90000000000003,0.2850597283586974,2,3,9,1,15,0.125,0.1875,0.5625,0.0625,31.44,31.2,32.0,57.27,56.7,59.2,7.1,3.9,58.2,60.9,56.6,0,517,0.0,0,-0.25881904510252157,0.9659258262890681,14,RESTLESS,2
synthetic_002415,ESP32_GREENHOUSE_01,2026-04-01 20:07:00+00:00,20,7,5.0,60.5,7.5,55.5,0.08130081300813008,14,0,1,0,15,0.875,0.0,0.0625,0.0,32.27,31.9,32.4,59.07,58.6,60.9,106.3,102.0,57.8,59.3,59.8,0,69,0.0,0,-0.8660254037844386,0.5000000000000001,15,QUIET,0
synthetic_008921,ESP32_GREENHOUSE_01,2026-04-04 02:20:00+00:00,2,20,571.8,571.8,499.9,0.0,0.9982541899441341,2,0,0,13,15,0.125,0.0,0.0,0.8125,31.7,31.2,32.0,59.48,59.4,60.5,66.1,84.7,41.2,40.5,39.0,2,676,0.125,1,0.49999999999999994,0.8660254037844387,15,CRYING,3
synthetic_005736,ESP32_GREENHOUSE_01,2026-04-02 23:47:30+00:00,23,47,226.4,366.9,235.9,140.49999999999997,0.6153846153846154,3,2,10,0,15,0.1875,0.125,0.625,0.0,30.92,30.3,31.4,49.8,48.7,51.3,69.4,59.0,54.5,53.4,60.4,0,7895,0.0,0,-0.25881904510252157,0.9659258262890681,15,RESTLESS,2
synthetic_000945,ESP32_GREENHOUSE_01,2026-04-01 07:52:00+00:00,7,52,77.4,118.2,76.2,40.8,0.6493288590604027,12,0,2,1,15,0.75,0.0,0.125,0.0625,32.76,32.3,32.9,57.88,57.2,58.9,46.6,46.3,56.8,55.7,57.0,0,114,0.0,0,0.9659258262890683,-0.25881904510252063,15,QUIET,0
synthetic_002958,ESP32_GREENHOUSE_01,2026-04-02 00:38:30+00:00,0,38,39.7,280.7,14.7,241.0,0.14093006744763936,1,9,3,2,15,0.0625,0.5625,0.1875,0.125,31.41,31.3,31.8,56.54,55.6,58.1,4.4,20.2,62.8,65.9,62.4,2,1992,0.125,1,0.0,1.0,15,LIGHT_ACTIVITY,1
synthetic_003577,ESP32_GREENHOUSE_01,2026-04-02 05:48:00+00:00,5,48,63.8,254.6,75.1,190.8,0.24960876369327073,11,2,1,1,15,0.6875,0.125,0.0625,0.0625,32.22,31.7,32.3,58.26,56.8,58.7,10.5,15.7,58.2,60.2,58.1,1,1950,0.06666666666666667,1,0.9659258262890683,0.25881904510252074,14,LIGHT_ACTIVITY,1
synthetic_005532,ESP32_GREENHOUSE_01,2026-04-02 22:05:30+00:00,22,5,148.0,796.6,179.2,648.6,0.1855566700100301,1,0,13,1,15,0.0625,0.0,0.8125,0.0625,30.86,30.5,31.2,59.78,57.9,61.6,77.8,64.7,54.0,51.1,57.7,4,5038,0.2857142857142857,1,-0.5000000000000004,0.8660254037844384,13,RESTLESS,2
synthetic_000640,ESP32_GREENHOUSE_01,2026-04-01 05:19:30+00:00,5,19,62.3,148.0,51.7,85.7,0.4181208053691275,12,0,1,2,15,0.75,0.0,0.0625,0.125,31.19,30.7,31.4,61.48,60.3,62.8,36.8,18.5,59.2,60.5,59.1,0,334,0.0,0,0.9659258262890683,0.25881904510252074,14,QUIET,0
synthetic_003887,ESP32_GREENHOUSE_01,2026-04-02 08:23:00+00:00,8,23,51.7,350.0,54.8,298.3,0.1472934472934473,0,9,4,2,15,0.0,0.5625,0.25,0.125,33.88,33.5,34.2,53.82,53.3,55.2,86.6,94.0,60.4,61.1,60.6,2,1983,0.125,1,0.8660254037844387,-0.4999999999999998,15,LIGHT_ACTIVITY,1
